"","Plot_ID","n_germinants","n_adults","germs_per_adult"
"1","092",8,11,0.727272727272727
"2","DC071",9,5,1.8
"3","DC072",11,11,1
"4","DC074",27,12,2.25
"5","DC075",31,5,6.2
"6","DC076",16,10,1.6
"7","DC077",4,10,0.4
"8","DC078",64,29,2.20689655172414
"9","DC079",3,4,0.75
"10","DC080",11,4,2.75
"11","DC101",18,11,1.63636363636364
"12","DN002",8,2,4
"13","DN003",2,7,0.285714285714286
"14","DN004",27,5,5.4
"15","DN006",92,16,5.75
"16","DN007",21,19,1.10526315789474
"17","DN008",2,6,0.333333333333333
"18","DN009",10,19,0.526315789473684
"19","DN010",12,8,1.5
"20","DN011",2,8,0.25
"21","DN012",4,5,0.8
"22","DN013",33,9,3.66666666666667
"23","DN014",66,12,5.5
"24","DN015",3,6,0.5
"25","DN016",0,9,0
"26","DN018",NA,NA,NA
"27","DN019",0,8,0
"28","DN021",24,6,4
"29","DN022",63,5,12.6
"30","DN023",1,6,0.166666666666667
"31","DN024",3,11,0.272727272727273
"32","DN025",82,5,16.4
"33","DN026",30,6,5
"34","DN027",40,6,6.66666666666667
"35","DN028",0,7,0
"36","DN029",47,5,9.4
"37","DN030",44,5,8.8
"38","DN031",50,8,6.25
"39","DN032",25,6,4.16666666666667
"40","DN033",7,6,1.16666666666667
"41","DN034",52,9,5.77777777777778
"42","DN035",0,12,0
"43","DN036",6,10,0.6
"44","DN037",19,11,1.72727272727273
"45","DN038",19,6,3.16666666666667
"46","DN039",7,5,1.4
"47","DN040",8,12,0.666666666666667
"48","DN041",79,10,7.9
"49","DN042",44,7,6.28571428571429
"50","DN043",167,7,23.8571428571429
"51","DN044",10,8,1.25
"52","DN045",32,3,10.6666666666667
"53","DN046",51,28,1.82142857142857
"54","DN048",4,6,0.666666666666667
"55","DN049",50,11,4.54545454545455
"56","DN050",244,12,20.3333333333333
"57","DN051",26,5,5.2
"58","DN052",8,12,0.666666666666667
"59","DN053",5,8,0.625
"60","DN054",4,7,0.571428571428571
"61","DN055",6,7,0.857142857142857
"62","DN056",31,16,1.9375
"63","DN057",13,6,2.16666666666667
"64","DN058",0,5,0
"65","DN059",64,5,12.8
"66","DN060",3,7,0.428571428571429
"67","DN061",56,6,9.33333333333333
"68","DN062",6,7,0.857142857142857
"69","DN063",20,7,2.85714285714286
"70","DN064",18,6,3
"71","DN065",93,8,11.625
"72","DN066",5,10,0.5
"73","DN067",44,5,8.8
"74","DN068",63,12,5.25
"75","DN069",38,6,6.33333333333333
"76","DN070",18,7,2.57142857142857
"77","DN073",47,13,3.61538461538462
"78","EOCTRI PLOT 1",86,0,Inf
"79","EOCTRI PLOT 5",NA,NA,NA
"80","EOCTRI PLOT 6",9,0,Inf
"81","EOCTRI PLOT 8",10,0,Inf
"82","EOCTRI PLOT 9",35,0,Inf
"83","NOAA081",9,16,0.5625
"84","NOAA082",42,8,5.25
"85","NOAA084",33,6,5.5
"86","NOAA085",36,6,6
"87","NOAA086",2,6,0.333333333333333
"88","NOAA088",26,8,3.25
"89","NOAA089",118,7,16.8571428571429
"90","NOAA091",24,4,6
"91","NOAA093",67,5,13.4
"92","NOAA094",1,9,0.111111111111111
"93","NOAA095",38,8,4.75
"94","NOAA096",1,4,0.25
"95","NOAA097",5,2,2.5
"96","NOAA098",4,6,0.666666666666667
"97","NOAA099",105,13,8.07692307692308
"98","NOAA100",28,6,4.66666666666667
"99","NOAA90",1,8,0.125
